LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
40m         Normal    Killing             pod/web-deployment-76ddf5fcf9-bfzjx    Stopping container web
40m         Normal    Killing             pod/web-deployment-76ddf5fcf9-n2wgv    Stopping container web
40m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 1 to 0
40m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-n2wgv
15m         Normal    Killing             pod/client-pod                         Stopping container client
13m         Normal    Scheduled           pod/client-pod                         Successfully assigned dso202-practical-01/client-pod to worker-node-1
13m         Normal    Pulling             pod/client-pod                         Pulling image "busybox:1.37"
12m         Normal    Created             pod/client-pod                         Container created
12m         Normal    Pulled              pod/client-pod                         Successfully pulled image "busybox:1.37" in 17.899s (17.899s including waiting). Image size: 2222111 bytes.
12m         Normal    Started             pod/client-pod                         Container started
11m         Warning   Unhealthy           pod/web-deployment-5d8696bcfb-h7f9j    Readiness probe failed: HTTP probe failed with statuscode: 404
53s         Normal    Killing             pod/client-pod                         Stopping container client
46s         Normal    Killing             pod/web-deployment-5d8696bcfb-qtjl4    Stopping container web
46s         Normal    Killing             pod/web-deployment-5d8696bcfb-t6cgj    Stopping container web
46s         Normal    Killing             pod/web-deployment-5d8696bcfb-h7f9j    Stopping container web
